match_id,champion,game_mode,win,game_date,hour_of_day,day_of_week,duration_mins,kills,deaths,assists,kda,kill_participation,damage_per_min,team_damage_pct,gold_per_min,total_damage,total_damage_taken,damage_mitigated,skillshots_hit,skillshots_dodged,dodge_small_window,immobilizations,solo_kills,ability_uses,champ_level,time_spent_dead,longest_life,largest_spree,largest_multikill,cs,cs_per_min,vision_score,vision_per_min,lane,role
NA1_5480474873,Swain,SR_Other,False,2026-02-01,4,Sunday,23.6,3,8,6,1.125,32.1,794.2,17.5,699.1,18723,39423,24685,62,79,13,31,1,226,18,210,403,2,1,91.0,3.86,21.0,0.91,BOTTOM,CARRY
NA1_5424841121,Senna,SR_Other,False,2025-11-30,8,Sunday,24.6,5,5,10,3.0,68.2,528.9,16.2,579.8,12988,21468,11481,31,21,0,23,1,144,17,116,649,2,1,48.0,1.96,39.0,1.61,BOTTOM,SUPPORT
NA1_5412171226,Swain,SR_Other,True,2025-11-13,0,Thursday,25.6,5,1,11,16.0,55.2,824.2,21.0,542.7,21067,15342,10405,42,14,0,36,0,225,17,16,539,5,2,64.0,2.5,62.0,2.46,BOTTOM,DUO
NA1_5426802239,Swain,SR_Other,False,2025-12-03,5,Wednesday,24.4,1,8,4,0.625,45.5,655.5,22.7,503.3,15968,27319,13845,34,8,0,24,1,178,16,243,572,0,1,134.0,5.5,16.0,0.7,BOTTOM,CARRY
NA1_5424807760,LeeSin,SR_Other,True,2025-11-30,7,Sunday,1.8,0,0,0,0.0,0.0,0.0,0.0,285.3,0,413,148,0,0,0,0,0,4,1,0,0,0,0,0.0,0.0,0.0,0.0,NONE,SUPPORT
NA1_5424812934,LeeSin,SR_Other,True,2025-11-30,7,Sunday,26.6,0,3,6,2.0,28.6,290.9,9.8,501.7,7741,24537,23730,9,94,14,13,0,386,17,81,1120,0,0,17.0,0.64,19.0,0.74,JUNGLE,NONE
NA1_5480526192,MissFortune,SR_Other,False,2026-02-01,5,Sunday,17.4,4,6,3,1.1666666666666667,46.7,687.9,17.1,687.6,11967,15439,7484,52,12,0,0,0,105,14,162,445,3,2,89.0,5.12,12.0,0.74,NONE,SUPPORT
NA1_5477912515,Senna,SR_Other,True,2026-01-29,5,Thursday,18.3,5,4,10,3.75,48.4,462.2,10.9,808.7,8470,15108,6673,20,19,0,11,0,99,16,100,292,2,2,45.0,2.46,32.0,1.79,NONE,SUPPORT
NA1_5480503867,Swain,SR_Other,True,2026-02-01,5,Sunday,16.1,3,1,6,9.0,28.1,602.3,12.3,718.2,9704,18029,20045,31,54,1,29,0,165,15,34,897,3,1,58.0,3.6,23.0,1.48,NONE,SUPPORT
NA1_5399210474,Swain,SR_Other,True,2025-10-24,3,Friday,30.6,5,3,10,5.0,50.0,581.9,15.5,617.4,17829,26413,13658,32,25,1,25,1,198,18,78,588,5,3,89.0,2.91,63.0,2.08,BOTTOM,SUPPORT
NA1_5428728210,Senna,SR_Other,True,2025-12-05,5,Friday,31.1,3,2,9,6.0,36.4,345.2,8.9,649.8,10746,15918,5177,24,25,1,17,0,148,18,88,1083,2,1,50.0,1.61,73.0,2.35,BOTTOM,SUPPORT
NA1_5414571133,Veigar,ARAM,True,2025-11-16,6,Sunday,26.4,8,10,43,5.1,67.1,1165.7,14.2,645.3,30828,30776,17207,68,65,2,29,0,314,18,332,297,2,1,,,,,,
NA1_5490792665,Thresh,ARAM,False,2026-02-13,7,Friday,19.9,4,11,35,3.5454545454545454,75.0,556.7,9.7,614.8,11076,52199,39883,19,112,11,55,0,99,18,288,189,3,1,,,,,,
NA1_5490788318,Senna,ARAM,False,2026-02-13,7,Friday,2.1,0,0,0,0.0,0.0,0.0,0.0,850.5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,,,,,,
NA1_5424830019,Mordekaiser,SR_Other,False,2025-11-30,8,Sunday,19.7,0,3,2,0.6666666666666666,15.4,487.9,17.5,464.2,9628,17399,16849,0,9,0,11,0,146,13,100,483,0,0,107.0,5.42,8.0,0.42,NONE,SUPPORT
NA1_5477836733,Swain,SR_Other,True,2026-01-29,4,Thursday,12.4,1,1,8,9.0,42.9,642.8,17.2,691.3,7963,8592,3958,27,2,0,15,0,100,11,22,459,0,1,24.0,1.94,17.0,1.39,NONE,SUPPORT
